Thetas,H1_hollow_10layers_70-80-60-80nm,H1_full_10layers_80nm
21.6909547739,419.7,486
21.7468592965,419.6,485.9
21.8027638191,419.5,485.8
21.8586683417,419.5,485.8
21.9145728643,419.4,485.7
21.9704773869,419.4,485.7
22.0263819095,419.3,485.6
22.0822864322,419.2,485.5
22.1381909548,419.2,485.5
22.1940954774,419.1,485.4
22.25,419.1,485.4
22.3059045226,419,485.3
22.3618090452,418.9,485.2
22.4177135678,418.9,485.2
22.4736180905,418.8,485.1
22.5295226131,418.8,485.1
22.5854271357,418.7,485
22.6413316583,418.6,484.9
22.6972361809,418.6,484.9
22.7531407035,418.5,484.8
22.8090452261,418.5,484.8
22.8649497487,418.4,484.7
22.9208542714,418.3,484.6
22.976758794,418.3,484.6
23.0326633166,418.2,484.5
23.0885678392,418.1,484.4
23.1444723618,418.1,484.4
23.2003768844,418,484.3
23.256281407,418,484.3
23.3121859296,417.9,484.2
23.3680904523,417.8,484.1
23.4239949749,417.8,484.1
23.4798994975,417.7,484
23.5358040201,417.6,483.9
23.5917085427,417.6,483.9
23.6476130653,417.5,483.8
23.7035175879,417.5,483.7
23.7594221106,417.4,483.7
23.8153266332,417.3,483.6
23.8712311558,417.3,483.6
23.9271356784,417.2,483.5
23.983040201,417.1,483.4
24.0389447236,417.1,483.4
24.0948492462,417,483.3
24.1507537688,416.9,483.2
24.2066582915,416.9,483.2
24.2625628141,416.8,483.1
24.3184673367,416.7,483
24.3743718593,416.7,483
24.4302763819,416.6,482.9
24.4861809045,416.5,482.8
24.5420854271,416.5,482.8
24.5979899497,416.4,482.7
24.6538944724,416.4,482.6
24.709798995,315.6,482.6
24.7657035176,315.5,482.5
24.8216080402,315.5,482.4
24.8775125628,315.5,482.4
24.9334170854,315.4,482.3
24.989321608,315.4,482.2
25.0452261307,315.3,482.2
25.1011306533,315.3,482.1
25.1570351759,315.3,482
25.2129396985,315.2,482
25.2688442211,315.2,481.9
25.3247487437,315.2,481.8
25.3806532663,315.1,481.8
25.4365577889,315.1,481.7
25.4924623116,315,481.6
25.5483668342,315,481.6
25.6042713568,315,481.5
25.6601758794,314.9,481.4
25.716080402,314.9,481.3
