Thetas,B2_hollow_5layers_80nm,B2_hollow_10layers_100nm,B2_full_10layers_80nm,B2_hollow_10layers_70-80-60-80nm
7.7707286432,0.2095800673,0.2086601353,0.0812940013,0.1643722843
7.8266331658,0.2095494781,0.2086307399,0.0812849735,0.1643475964
7.8825376884,0.2095186828,0.2086011404,0.0812758787,0.1643227355
7.9384422111,0.2094876818,0.2085713369,0.0812667166,0.1642977014
7.9943467337,0.2094564753,0.2085413296,0.0812574874,0.1642724942
8.0502512563,0.2094250636,0.2085111185,0.0812481909,0.164247114
8.1061557789,0.2093934469,0.2084807037,0.0812388272,0.1642215607
8.1620603015,0.2093616255,0.2084500854,0.0812293962,0.1641958345
8.2179648241,0.2093295996,0.2084192635,0.081219898,0.1641699352
8.2738693467,0.2092973695,0.2083882381,0.0812103324,0.164143863
8.3297738693,0.2092649355,0.2083570094,0.0812006995,0.1641176178
8.385678392,0.2092322979,0.2083255774,0.0811909993,0.1640911997
8.4415829146,0.2091994568,0.2082939423,0.0811812317,0.1640646087
8.4974874372,0.2091664125,0.2082621039,0.0811713967,0.1640378447
8.5533919598,0.2091331654,0.2082300626,0.0811614944,0.1640109079
8.6092964824,0.2090997156,0.2081978182,0.0811515246,0.1639837982
8.665201005,0.2090660635,0.2081653709,0.0811414874,0.1639565157
8.7211055276,0.2090322093,0.2081327208,0.0811313828,0.1639290602
8.7770100503,0.2089981532,0.2080998679,0.0811212108,0.163901432
8.8329145729,0.2089638955,0.2080668123,0.0811109713,0.1638736308
8.8888190955,0.2089294366,0.208033554,0.0811006644,0.1638456569
8.9447236181,0.2088947765,0.2080000931,0.08109029,0.16381751
9.0006281407,0.2088599157,0.2079664297,0.0810798481,0.1637891904
9.0565326633,0.2088248544,0.2079325638,0.0810693388,0.1637606978
9.1124371859,0.2087895928,0.2078984955,0.081058762,0.1637320324
9.1683417085,0.2087541312,0.2078642248,0.0810481177,0.1637031942
9.2242462312,0.2087184699,0.2078297518,0.081037406,0.163674183
9.2801507538,0.2086826091,0.2077950766,0.0810266267,0.163644999
9.3360552764,0.2086465491,0.2077601991,0.0810157801,0.163615642
9.391959799,0.2086102902,0.2077251194,0.0810048659,0.1635861121
9.4478643216,0.2085738326,0.2076898376,0.0809938844,0.1635564093
9.5037688442,0.2085371766,0.2076543538,0.0809828353,0.1635265335
9.5596733668,0.2085003225,0.2076186678,0.0809717189,0.1634964848
9.6155778894,0.2084632705,0.2075827799,0.080960535,0.163466263
9.6714824121,0.2084260209,0.2075466899,0.0809492837,0.1634358682
9.7273869347,0.2083885739,0.207510398,0.080937965,0.1634053003
9.7832914573,0.2083509299,0.2074739042,0.0809265789,0.1633745594
9.8391959799,0.208313089,0.2074372085,0.0809151255,0.1633436453
9.8951005025,0.2082750516,0.2074003109,0.0809036048,0.163312558
9.9510050251,0.2082368178,0.2073632114,0.0808920167,0.1632812976
10.0069095477,0.2081983881,0.2073259102,0.0808803613,0.1632498639
10.0628140704,0.2081597625,0.2072884071,0.0808686387,0.1632182569
10.118718593,0.2081209415,0.2072507022,0.0808568488,0.1631864766
10.1746231156,0.2080819252,0.2072127955,0.0808449918,0.1631545229
10.2305276382,0.2080427139,0.207174687,0.0808330675,0.1631223958
10.2864321608,0.2080033079,0.2071363768,0.0808210761,0.1630900952
10.3423366834,0.2079637075,0.2070978648,0.0808090177,0.163057621
10.398241206,0.2079239128,0.207059151,0.0807968921,0.1630249733
10.4541457286,0.2078839242,0.2070202355,0.0807846995,0.162992152
10.5100502513,0.2078437418,0.2069811182,0.0807724399,0.1629591569
10.5659547739,0.2078033661,0.2069417991,0.0807601134,0.1629259881
10.6218592965,0.2077627972,0.2069022782,0.08074772,0.1628926454
10.6777638191,0.2077220353,0.2068625556,0.0807352598,0.1628591289
10.7336683417,0.2076810808,0.2068226311,0.0807227328,0.1628254384
10.7895728643,0.2076399339,0.2067825048,0.080710139,0.1627915738
10.8454773869,0.2075985948,0.2067421766,0.0806974785,0.1627575351
10.9013819095,0.2075570638,0.2067016466,0.0806847515,0.1627233222
10.9572864322,0.2075153411,0.2066609147,0.0806719578,0.1626889351
11.0131909548,0.2074734271,0.2066199808,0.0806590977,0.1626543736
11.0690954774,0.2074313218,0.206578845,0.0806461712,0.1626196377
11.125,0.2073890257,0.2065375072,0.0806331783,0.1625847272
11.1809045226,0.2073465389,0.2064959674,0.0806201191,0.1625496422
11.2368090452,0.2073038617,0.2064542255,0.0806069936,0.1625143824
11.2927135678,0.2072609943,0.2064122815,0.0805938021,0.1624789478
11.3486180905,0.207217937,0.2063701353,0.0805805445,0.1624433384
11.4045226131,0.2071746901,0.206327787,0.0805672209,0.162407554
11.4604271357,0.2071312536,0.2062852364,0.0805538314,0.1623715945
11.5163316583,0.207087628,0.2062424835,0.0805403762,0.1623354598
11.5722361809,0.2070438134,0.2061995282,0.0805268552,0.1622991498
11.6281407035,0.2069998101,0.2061563705,0.0805132686,0.1622626644
11.6840452261,0.2069556182,0.2061130103,0.0804996165,0.1622260035
11.7399497487,0.2069112382,0.2060694476,0.080485899,0.162189167
11.7958542714,0.2068666701,0.2060256823,0.0804721161,0.1621521548
11.851758794,0.2068219142,0.2059817143,0.0804582681,0.1621149668
11.9076633166,0.2067769707,0.2059375435,0.0804443549,0.1620776027
11.9635678392,0.2067318399,0.2058931699,0.0804303768,0.1620400627
12.0194723618,0.206686522,0.2058485934,0.0804163338,0.1620023464
12.0753768844,0.2066410172,0.2058038138,0.0804022261,0.1619644538
12.131281407,0.2065953258,0.2057588313,0.0803880537,0.1619263847
12.1871859296,0.2065494479,0.2057136455,0.0803738168,0.1618881391
12.2430904523,0.2065033838,0.2056682565,0.0803595156,0.1618497168
12.2989949749,0.2064571337,0.2056226641,0.0803451501,0.1618111177
12.3548994975,0.2064106978,0.2055768683,0.0803307205,0.1617723416
12.4108040201,0.2063640764,0.205530869,0.0803162269,0.1617333884
12.4667085427,0.2063172696,0.205484666,0.0803016696,0.161694258
12.5226130653,0.2062702776,0.2054382593,0.0802870485,0.1616549502
12.5785175879,0.2062231007,0.2053916487,0.0802723639,0.161615465
12.6344221106,0.2061757391,0.2053448342,0.080257616,0.161575802
12.6903266332,0.2061281929,0.2052978156,0.0802428049,0.1615359613
12.7462311558,0.2060804625,0.2052505928,0.0802279307,0.1614959427
12.8021356784,0.2060325479,0.2052031657,0.0802129936,0.161455746
12.858040201,0.2059844494,0.2051555342,0.0801979938,0.1614153711
12.9139447236,0.2059361671,0.2051076982,0.0801829314,0.1613748178
12.9698492462,0.2058877013,0.2050596576,0.0801678067,0.1613340859
13.0257537688,0.2058390522,0.2050114121,0.0801526198,0.1612931755
13.0816582915,0.2057902199,0.2049629618,0.080137371,0.1612520862
13.1375628141,0.2057412047,0.2049143064,0.0801220603,0.1612108179
13.1934673367,0.2056920067,0.2048654459,0.0801066879,0.1611693705
13.2493718593,0.205642626,0.20481638,0.0800912542,0.1611277438
13.3052763819,0.205593063,0.2047671087,0.0800757593,0.1610859377
13.3611809045,0.2055433177,0.2047176319,0.0800602033,0.1610439519
13.4170854271,0.2054933904,0.2046679493,0.0800445865,0.1610017865
